Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,773804,-,-,-,44.85,-93.46,0,263,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.4
Year,Month,Day,Hour,Minute,GHI,Dew Point,Temperature,Wind Direction,Wind Speed,Pressure
2008,1,3,23,30,0,-7.2,-5.300000000000001,206,2.9000000000000004,987
2008,1,4,0,30,0,-8,-6.800000000000001,202,2.7,987
2008,1,4,1,30,0,-9.200000000000001,-8.1,197,2.5,987
2008,1,4,2,30,0,-10.3,-9.1,193,2.5,987
2008,1,4,3,30,0,-10.9,-9.4,190,2.5,986
2008,1,4,4,30,0,-10.700000000000001,-9.200000000000001,189,2.5,986
2008,1,4,5,30,0,-10.5,-9.3,187,2.5,985
2008,1,4,6,30,0,-10.8,-9.700000000000001,184,2.4000000000000004,985
2008,1,4,7,30,0,-11.200000000000001,-10,178,2.4000000000000004,984
2008,1,4,8,30,0,-11.5,-10,173,2.4000000000000004,984
2008,1,4,9,30,0,-11.200000000000001,-9.600000000000001,168,2.4000000000000004,983
2008,1,4,10,30,0,-10.700000000000001,-9,165,2.5,983
2008,1,4,11,30,0,-10.200000000000001,-8.5,164,2.7,982
2008,1,4,12,30,0,-9.8,-8.4,165,2.8000000000000003,982
2008,1,4,13,30,0,-9.9,-8.4,165,2.9000000000000004,981
2008,1,4,14,30,31,-10,-7.7,164,3.5,981
2008,1,4,15,30,199,-8.6,-6.2,164,4.1000000000000005,981
2008,1,4,16,30,313,-7,-4.6000000000000005,166,4.5,980
2008,1,4,17,30,382,-5.5,-3,172,4.800000000000001,980
2008,1,4,18,30,272,-4.2,-1.8,173,4.800000000000001,979
2008,1,4,19,30,362,-3.1,-1.1,167,4.4,978
2008,1,4,20,30,180,-2.4000000000000004,-1,160,4.1000000000000005,977
2008,1,4,21,30,74,-2.4000000000000004,-1.3,158,4.2,977
2008,1,4,22,30,9,-2.9000000000000004,-1.7000000000000002,161,4.6000000000000005,977
2008,1,4,23,30,0,-3,-1.8,164,4.9,977
2008,1,5,0,30,0,-3,-2,172,5.1000000000000005,976
2008,1,5,1,30,0,-3.2,-2.3000000000000003,177,4.9,976
2008,1,5,2,30,0,-3.5,-2.8000000000000003,181,4.6000000000000005,975
2008,1,5,3,30,0,-3.9000000000000004,-3.3000000000000003,184,4,975
2008,1,5,4,30,0,-4.3,-3.7,187,3.4000000000000004,974
2008,1,5,5,30,0,-4.6000000000000005,-3.9000000000000004,189,3,974
2008,1,5,6,30,0,-4.6000000000000005,-4,191,2.7,974
